Biomark	group
Unclassified_22(f__Clostridiaceae)	ileum
g__Actinobacillus	ileum
g__Hydrogenophilus	ileum
Unclassified_18(o__Clostridiales)	ileum
g__Alcanivorax	ileum
g__Veillonella	ileum
g__Mycoplasma	ileum
g__Schlegelella	ileum
Unclassified_13(o__Streptophyta)	ileum
Unclassified_41(f__Xanthomonadaceae)	ileum
Unclassified_49(f__Nitriliruptoraceae)	ileum
Unclassified_42(o__CW040)	ileum
g__Pasteurella	ileum
g__Dietzia	ileum
g__Haemophilus	ileum
g__Nesterenkonia	ileum
g__Flexispira	ileum
g__Fusobacterium	ileum
g__Halomonas	ileum
g__Aggregatibacter	ileum
Unclassified_27(f__Ruminococcaceae)	cecum
Unclassified_36(o__Tremblayales)	cecum
g__Roseburia	cecum
g__[Prevotella]	cecum
g__Gemmiger	cecum
g__Prevotella	cecum
g__Collinsella	cecum
g__Lachnospira	cecum
g__Dorea	cecum
g__p-75-a5	cecum
g__Blautia	cecum
g__Faecalibacterium	cecum
g__Paraprevotella	cecum
g__CF231	cecum
Unclassified_50(f__Peptostreptococcaceae)	cecum
g__Phascolarctobacterium	cecum
Unclassified_21(f__Clostridiaceae)	cecum
g__[Ruminococcus]	cecum
g__Mitsuokella	cecum
g__Catenibacterium	cecum
g__Paludibacter	cecum
Unclassified_6(f__Prevotellaceae)	cecum
Unclassified_10(f__[Paraprevotellaceae])	cecum
g__Lactobacillus	colon
Unclassified_9(f__S24-7)	colon
Unclassified_24(f__Lachnospiraceae)	colon
g__Oscillospira	colon
Unclassified_19(o__Clostridiales)	colon
Unclassified_26(f__Ruminococcaceae)	colon
Unclassified_5(o__Bacteroidales)	colon
g__Treponema	colon
g__Coprococcus	colon
g__[Eubacterium]	colon
Unclassified_29(f__[Mogibacteriaceae])	colon
Unclassified_48(f__Coriobacteriaceae)	colon
Unclassified_4(o__Bacteroidales)	colon
Unclassified_23(f__Lachnospiraceae)	colon
g__RFN20	colon
g__Dehalobacterium	colon
g__Oxalobacter	colon
g__Bulleidia	colon
g__Rummeliibacillus	rectum
g__Escherichia	rectum
g__Pediococcus	rectum
g__Enterococcus	rectum
g__Lysinibacillus	rectum
g__Staphylococcus	rectum
Unclassified_44(o__RF39)	rectum
g__Weissella	rectum
g__Microbacterium	rectum
Unclassified_20(f__Christensenellaceae)	rectum
g__Comamonas	rectum
g__Parabacteroides	rectum
g__Acinetobacter	rectum
g__Sedimentibacter	rectum
g__Pseudomonas	rectum
g__Desemzia	rectum
g__Tetragenococcus	rectum
g__Oceanobacillus	rectum
g__Alkaliphilus	rectum
g__Bacteroides	rectum
g__Streptococcus	rectum
Unclassified_16(o__Lactobacillales)	rectum
