OTU ID	sample-1	sample-2	sample-3	sample-4	sample-5	sample-6	sample-7	sample-8	sample-9	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18	sample-19	sample-20	sample-21	sample-22	sample-23	sample-24	sample-25	sample-26	sample-27	sample-28	sample-29	sample-30	sample-31	sample-32	sample-33	sample-34	sample-35	sample-36	sample-37	sample-38	sample-39	sample-40	sample-41	sample-42	sample-43	sample-44	sample-45	sample-46	sample-47	sample-48	sample-49	sample-50	sample-51	sample-52	sample-53	sample-54	sample-55	sample-56	sample-57	sample-58	sample-59	sample-60	sample-61	sample-62	sample-63	sample-64	sample-65	sample-66	sample-67	sample-68	sample-69	sample-70	sample-71	sample-72	sample-73	sample-74	sample-75	sample-76	sample-77	sample-78	sample-79	sample-80	sample-81	sample-82	sample-83	sample-84	sample-85	sample-86	sample-87	sample-88	sample-89	sample-90	sample-91	sample-92	sample-93	sample-94	sample-95	sample-96	sample-97	sample-98	sample-99	sample-100	sample-101	sample-102	sample-103	sample-104	sample-105	sample-106	sample-107	sample-108	sample-109	sample-110	sample-111	sample-112	sample-113	sample-114	sample-115	sample-116	sample-117	sample-118	sample-119	sample-120
5fe8fb5abbcbeffaeb764f6130a519ed	6934.0	3177.0	2638.0	974.0	2875.0	162.0	913.0	479.0	531.0	139.0	76.0	266.0	123.0	3045.0	332.0	855.0	575.0	185.0	3440.0	1411.0	542.0	222.0	70.0	366.0	149.0	429.0	261.0	321.0	177.0	83.0	20.0	4.0	15.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	23.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	16.0	11.0	20.0	13.0	33.0	123.0	226.0	20.0	470.0	50.0	187.0	133.0	42.0	36.0	13.0	59.0	8.0	3.0	55.0	69.0	37.0	54.0	46.0	19.0	11.0	19.0	33.0	41.0	19.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	216.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	157.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3e9bd3e94f456ebfe580406c2bfc513d	3973.0	1261.0	868.0	513.0	1677.0	23.0	195.0	246.0	185.0	53.0	35.0	105.0	62.0	598.0	104.0	66.0	693.0	68.0	290.0	1206.0	169.0	43.0	20.0	48.0	44.0	116.0	89.0	81.0	89.0	9.0	13.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	5.0	0.0	6.0	5.0	0.0	16.0	0.0	0.0	4.0	40.0	76.0	29.0	4.0	6.0	47.0	0.0	1.0	0.0	48.0	28.0	0.0	8.0	0.0	0.0	9.0	13.0	23.0	18.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3a26fddc8029b3f35b6f78873e9b49f6	3208.0	1803.0	2242.0	1249.0	1647.0	139.0	600.0	416.0	433.0	109.0	75.0	131.0	111.0	1969.0	296.0	745.0	687.0	121.0	1283.0	1016.0	355.0	102.0	62.0	243.0	87.0	314.0	234.0	312.0	186.0	84.0	12.0	0.0	13.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	46.0	19.0	24.0	18.0	34.0	102.0	171.0	13.0	453.0	34.0	139.0	75.0	49.0	20.0	14.0	72.0	2.0	6.0	44.0	65.0	18.0	39.0	27.0	24.0	4.0	17.0	27.0	68.0	17.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1a379480556fdd1cb193ae0a3cfc406a	714.0	7878.0	3357.0	2976.0	2652.0	20575.0	16759.0	17795.0	27515.0	22066.0	18551.0	2635.0	28076.0	3236.0	2538.0	3657.0	1874.0	21943.0	5489.0	2920.0	25262.0	21971.0	27128.0	21840.0	25606.0	21578.0	20757.0	16475.0	4062.0	20074.0	256.0	593.0	958.0	497.0	621.0	512.0	778.0	565.0	551.0	571.0	1088.0	340.0	345.0	195.0	474.0	438.0	756.0	464.0	1504.0	493.0	617.0	328.0	688.0	528.0	2448.0	719.0	159.0	7891.0	1222.0	2527.0	1024.0	4917.0	3639.0	3647.0	2126.0	2197.0	4592.0	2376.0	1488.0	2925.0	1018.0	1100.0	315.0	1117.0	1479.0	2831.0	1039.0	736.0	2010.0	2091.0	1720.0	4555.0	885.0	4355.0	2178.0	2997.0	1057.0	3610.0	1064.0	1800.0	498.0	532.0	942.0	267.0	431.0	423.0	243.0	514.0	335.0	1650.0	1508.0	580.0	564.0	380.0	1111.0	589.0	512.0	432.0	265.0	504.0	179.0	632.0	824.0	528.0	278.0	647.0	977.0	234.0	521.0	369.0
778e8d13740e4b5c89bb310db0b54960	536.0	15.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
591ed1d6afd1e79ae33d6b6cd0c6b185	199.0	416.0	1529.0	714.0	2370.0	2236.0	2556.0	4909.0	1919.0	1502.0	8118.0	15347.0	622.0	459.0	687.0	813.0	630.0	973.0	538.0	326.0	519.0	1773.0	616.0	2550.0	309.0	624.0	1772.0	1587.0	6454.0	3619.0	26.0	27.0	35.0	36.0	20.0	58.0	53.0	43.0	18.0	496.0	877.0	40.0	18.0	7.0	11.0	33.0	22.0	65.0	70.0	26.0	46.0	1608.0	837.0	478.0	838.0	5590.0	776.0	17.0	520.0	9.0	87.0	162.0	114.0	87.0	1244.0	894.0	702.0	2767.0	893.0	1545.0	5593.0	3124.0	126.0	129.0	185.0	269.0	658.0	373.0	548.0	833.0	395.0	1121.0	173.0	4069.0	264.0	230.0	170.0	567.0	2643.0	880.0	271.0	64.0	61.0	62.0	89.0	180.0	102.0	652.0	449.0	241.0	1566.0	5298.0	5435.0	2423.0	1000.0	854.0	1291.0	826.0	7617.0	7884.0	13214.0	2426.0	3262.0	9500.0	8054.0	634.0	1431.0	534.0	927.0	1907.0
2350592383dd3b36714442c4d3c51d62	110.0	146.0	71.0	444.0	155.0	39.0	87.0	138.0	111.0	25.0	0.0	887.0	15.0	80.0	16.0	81.0	124.0	16.0	53.0	119.0	59.0	17.0	8.0	150.0	4.0	48.0	32.0	73.0	148.0	60.0	6.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	19.0	15.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	7.0	6.0	74.0	18.0	31.0	47.0	20.0	124.0	252.0	10.0	5.0	3.0	6.0	12.0	5.0	1.0	29.0	1.0	94.0	0.0	13.0	14.0	8.0	8.0	3.0	30.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1acb761e7d0106654ffb214878924af6	89.0	187.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	478.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	114.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ecffe0ab1ced1947ddff50c39638bd19	82.0	457.0	251.0	321.0	262.0	521.0	705.0	254.0	310.0	657.0	364.0	142.0	443.0	1301.0	1195.0	3815.0	2526.0	2328.0	3301.0	532.0	1480.0	3074.0	1519.0	2065.0	1889.0	3380.0	909.0	2082.0	845.0	1454.0	154.0	354.0	634.0	246.0	181.0	312.0	269.0	109.0	304.0	209.0	541.0	229.0	72.0	106.0	195.0	143.0	144.0	264.0	489.0	150.0	328.0	231.0	313.0	344.0	272.0	389.0	117.0	4249.0	1463.0	3621.0	284.0	620.0	363.0	683.0	309.0	442.0	441.0	336.0	166.0	324.0	160.0	227.0	101.0	160.0	245.0	582.0	255.0	257.0	391.0	525.0	298.0	810.0	228.0	331.0	476.0	515.0	282.0	489.0	629.0	488.0	486.0	1145.0	1051.0	487.0	698.0	984.0	664.0	513.0	571.0	2088.0	1606.0	742.0	1425.0	667.0	791.0	472.0	572.0	542.0	399.0	415.0	239.0	822.0	605.0	716.0	165.0	689.0	608.0	192.0	314.0	396.0
b458e0bd42928b2e767661aff10c82f6	66.0	223.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	1062.0	28.0	0.0	0.0	16.0	32.0	18.0	20.0	9.0	0.0	0.0	0.0	131.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
