index	sample-1	sample-2	sample-3	sample-4	sample-5	sample-6	sample-7	sample-8	sample-9	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18	sample-19	sample-20	sample-21	sample-22	sample-23	sample-24	sample-25	sample-26	sample-27	sample-28	sample-29	sample-30	sample-31	sample-32	sample-33	sample-34	sample-35	sample-36	sample-37	sample-38	sample-39	sample-40	sample-41	sample-42	sample-43	sample-44	sample-45	sample-46	sample-47	sample-48	sample-49	sample-50	sample-51	sample-52	sample-53	sample-54	sample-55	sample-56	sample-57	sample-58	sample-59	sample-60	sample-61	sample-62	sample-63	sample-64	sample-65	sample-66	sample-67	sample-68	sample-69	sample-70	sample-71	sample-72	sample-73	sample-74	sample-75	sample-76	sample-77	sample-78	sample-79	sample-80	sample-81	sample-82	sample-83	sample-84	sample-85	sample-86	sample-87	sample-88	sample-89	sample-90	sample-91	sample-92	sample-93	sample-94	sample-95	sample-96	sample-97	sample-98	sample-99	sample-100	sample-101	sample-102	sample-103	sample-104	sample-105	sample-106	sample-107	sample-108	sample-109	sample-110	sample-111	sample-112	sample-113	sample-114	sample-115	sample-116	sample-117	sample-118	sample-119	sample-120
Unclassified_1(k__Bacteria)	0	0	0	0	0	0	0	7.75E-05	0	0	0	0	0	0	0	0	0	0	0	0.000677568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000165053	0	0.000396731	0	0.000299276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000164677	0	0.000300105	0	0	0	0	0	0.000188537	0	0	0	0	0.000103977	0.000299685	0.000146295	0	0	0	0	0.00014652	0	0	0	0	0	0	0	0	0	0	8.77E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000260824	0	0
g__Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000677568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Demequina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000454504	0	9.88E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000114725	0	0	0.000192548	0.000865551	0.003649913	0.000191507	0.000288884	9.73E-05	0	0.000369936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000397479	0.00024717	0.000512821	0.000102564	0.000171836	0	0	0.000126119	0.001246275	0.001041977	0.00901609	0.001524608	0.000545653	0.001096347	0.00270453	0	0	0	0	0.000160843	0.000559347	0.0004678	0.001281934	0.000886413	0.001201726	0.003701862	0.015127804	0.000734484	0.000836415
g__Brachybacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000247755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000281215	0	0	0	0.000148854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000260824	0	0
g__Dietzia	0	0	0.001639431	0.000406669	0	7.66E-05	0	0.000232477	0.000280522	0.000343223	0	0	6.50E-05	0.000292039	9.80E-05	0.00092908	0	0.000103256	0.000416816	0.004788147	0.000184991	0.00016229	8.89E-05	0.000169302	6.61E-05	0.000143092	0.000139631	0.000124616	0	0.000251518	0	0	0	0	0	0	0	0	0	0	9.92E-05	0	0	0	0	0	0	0	0.000114725	0	0	0	0	0	0	0	0	0	0	0	0	0.000236728	0	0	0.000170054	0	0	0	0.000169678	0	0	0	0	0.000164677	0	0	0	0	0	8.69E-05	0.000170814	0	0	0	0.000399361	0	0	0	0.000146295	9.98E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Microbacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000131562	0	0	0	0	0	0	0	0	0	0	0	0.00066302	0	0	8.80E-05
Unclassified_51(f__Micrococcaceae)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000677568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Nesterenkonia	0	0	0	0.000203335	0	0	0	0	0	0	0	0	0	0	0	0.00377826	0.000114155	0.000172093	0.00023818	0.000948595	0.000246655	0.000194748	0	0	6.61E-05	0	0	8.31E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Rothia	0	0	0.00010577	0	0	0	0	0.000271223	0	0	0	0	0	0.000175223	0	0.000123877	0.000171233	0.000103256	0.000595451	0.00338784	0.000215823	6.49E-05	0	0	0.000231382	0.000143092	0.000139631	8.31E-05	0.000130463	0.000143725	0	0	0.000119933	0	0	0	0.000119553	0	0	0	0	0.000387247	0	0	0	0	0	0	0	0	0.000104194	0	0	0	0	0	0	0.003545132	0	0.003904127	0	0.000532639	0.00011897	0.000141693	0	0	0	0	0.000339357	0.000199548	0	0.000209805	0	0.00049403	0	0	0	0	0	0.000260711	0	0.000188537	0	0	0.000266241	0	0	0	0	0	0	0	0	0.00021978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001130238	0	0
