sample-id	sample	body-site	group-id
sample-1	HA1	ileum	A
sample-2	HA2	ileum	A
sample-3	HA3	ileum	A
sample-4	HA4	ileum	A
sample-5	HA5	ileum	A
sample-6	HA6	ileum	A
sample-7	HA7	ileum	A
sample-8	HA8	ileum	A
sample-9	HA9	ileum	A
sample-10	HA10	ileum	A
sample-11	HA11	ileum	A
sample-12	HA12	ileum	A
sample-13	HA13	ileum	A
sample-14	HA14	ileum	A
sample-15	HA15	ileum	A
sample-16	HA16	ileum	A
sample-17	HA17	ileum	A
sample-18	HA18	ileum	A
sample-19	HA19	ileum	A
sample-20	HA20	ileum	A
sample-21	HA21	ileum	A
sample-22	HA22	ileum	A
sample-23	HA23	ileum	A
sample-24	HA24	ileum	A
sample-25	HA25	ileum	A
sample-26	HA26	ileum	A
sample-27	HA27	ileum	A
sample-28	HA28	ileum	A
sample-29	HA29	ileum	A
sample-30	HA30	ileum	A
sample-31	JA1	colon	B
sample-32	JA2	colon	B
sample-33	JA3	colon	B
sample-34	JA4	colon	B
sample-35	JA5	colon	B
sample-36	JA6	colon	B
sample-37	JA7	colon	B
sample-38	JA8	colon	B
sample-39	JA9	colon	B
sample-40	JA10	colon	B
sample-41	JA11	colon	B
sample-42	JA12	colon	B
sample-43	JA13	colon	B
sample-44	JA14	colon	B
sample-45	JA15	colon	B
sample-46	JA16	colon	B
sample-47	JA17	colon	B
sample-48	JA18	colon	B
sample-49	JA19	colon	B
sample-50	JA20	colon	B
sample-51	JA21	colon	B
sample-52	JA22	colon	B
sample-53	JA23	colon	B
sample-54	JA24	colon	B
sample-55	JA25	colon	B
sample-56	JA26	colon	B
sample-57	JA27	colon	B
sample-58	JA28	colon	B
sample-59	JA29	colon	B
sample-60	JA30	colon	B
sample-61	MA1	cecum	C
sample-62	MA2	cecum	C
sample-63	MA3	cecum	C
sample-64	MA4	cecum	C
sample-65	MA5	cecum	C
sample-66	MA6	cecum	C
sample-67	MA7	cecum	C
sample-68	MA8	cecum	C
sample-69	MA9	cecum	C
sample-70	MA10	cecum	C
sample-71	MA11	cecum	C
sample-72	MA12	cecum	C
sample-73	MA13	cecum	C
sample-74	MA14	cecum	C
sample-75	MA15	cecum	C
sample-76	MA16	cecum	C
sample-77	MA17	cecum	C
sample-78	MA18	cecum	C
sample-79	MA19	cecum	C
sample-80	MA20	cecum	C
sample-81	MA21	cecum	C
sample-82	MA22	cecum	C
sample-83	MA23	cecum	C
sample-84	MA24	cecum	C
sample-85	MA25	cecum	C
sample-86	MA26	cecum	C
sample-87	MA27	cecum	C
sample-88	MA28	cecum	C
sample-89	MA29	cecum	C
sample-90	MA30	cecum	C
sample-91	ZA1	rectum	D
sample-92	ZA2	rectum	D
sample-93	ZA3	rectum	D
sample-94	ZA4	rectum	D
sample-95	ZA5	rectum	D
sample-96	ZA6	rectum	D
sample-97	ZA7	rectum	D
sample-98	ZA8	rectum	D
sample-99	ZA9	rectum	D
sample-100	ZA10	rectum	D
sample-101	ZA11	rectum	D
sample-102	ZA12	rectum	D
sample-103	ZA13	rectum	D
sample-104	ZA14	rectum	D
sample-105	ZA15	rectum	D
sample-106	ZA16	rectum	D
sample-107	ZA17	rectum	D
sample-108	ZA18	rectum	D
sample-109	ZA19	rectum	D
sample-110	ZA20	rectum	D
sample-111	ZA21	rectum	D
sample-112	ZA22	rectum	D
sample-113	ZA23	rectum	D
sample-114	ZA24	rectum	D
sample-115	ZA25	rectum	D
sample-116	ZA26	rectum	D
sample-117	ZA27	rectum	D
sample-118	ZA28	rectum	D
sample-119	ZA29	rectum	D
sample-120	ZA30	rectum	D
