index	unclassified	p__Actinobacteria	p__Bacteroidetes	p__Chlamydiae	p__Cyanobacteria	p__Deferribacteres	p__Fibrobacteres	p__Firmicutes	p__Fusobacteria	p__Proteobacteria	p__Spirochaetes	p__TM7	p__Tenericutes	p__Verrucomicrobia
Sample1	0	2	2	0	536	0	0	862	0	14722	0	0	0	0
Sample2	0	0	0	0	23	0	0	8994	0	7498	0	0	138	0
Sample3	0	36	30	0	19	0	0	5352	0	13383	0	0	89	0
Sample4	0	6	0	0	3	0	0	3936	0	5632	0	0	259	0
Sample5	0	0	0	0	4	0	0	3504	3	10315	0	0	230	0
Sample6	0	2	0	0	12	0	0	22348	0	3342	0	0	402	0
Sample7	0	0	0	0	7	0	0	18307	0	5245	0	0	9	0
Sample8	0	13	0	0	250	0	0	18522	0	6982	0	0	42	0
Sample9	0	37	6	0	51	0	0	28220	0	3686	0	0	83	0
Sample10	0	9	2	0	663	0	0	23188	0	2207	0	0	153	0
Sample11	0	0	0	0	20	0	0	20201	0	8794	0	0	163	0
Sample12	0	0	7	0	9	0	0	3076	0	18113	0	0	638	0
Sample13	0	8	0	0	482	0	0	28902	0	1227	0	0	161	0
Sample14	0	8	4	0	36	0	0	5245	17	9271	0	8	2532	0
Sample15	0	5	6	0	28	0	0	26230	0	3327	0	0	1008	0
Sample16	0	89	4	0	38	0	0	10199	16	5653	0	4	142	0
Sample17	0	5	2	0	20	0	0	7097	82	7362	0	0	2952	0
Sample18	0	13	8	0	78	0	0	26655	4	1837	0	0	459	0
Sample19	0	31	0	0	107	0	0	9950	0	6687	0	0	19	0
Sample20	0	262	35	0	8682	0	0	5144	2	7859	0	13	141	0
Sample21	0	66	14	0	803	0	0	28180	0	2512	0	0	859	0
Sample22	0	13	4	0	131	0	0	27246	3	2654	0	0	758	0
Sample23	0	3	0	0	135	0	0	32562	0	989	0	0	45	0
Sample24	0	5	0	0	269	0	0	24814	0	4275	2	0	168	0
Sample25	0	11	0	0	518	0	0	28483	0	874	0	0	367	0
Sample26	0	8	0	0	18	0	0	25886	0	1917	0	0	125	0
Sample27	0	8	0	0	71	0	0	25401	2	3089	0	0	76	0
Sample28	0	7	0	0	18	0	0	20989	0	2982	0	0	78	0
Sample29	0	2	2	0	12	0	0	7317	29	7861	0	0	107	0
Sample30	0	11	19	0	152	0	0	23373	7	4210	0	0	59	0
Sample31	0	332	2383	0	2	0	62	13096	0	569	129	2	324	0
Sample32	0	175	1500	2	0	0	8	18165	0	203	270	28	463	0
Sample33	0	168	3075	0	0	0	36	12384	0	298	494	2	219	0
Sample34	0	127	2082	0	0	0	18	9961	0	80	124	4	112	0
Sample35	0	326	2268	0	0	0	4	9946	0	41	74	4	149	0
Sample36	0	134	1795	0	0	0	1	7191	0	107	81	0	210	0
Sample37	0	370	4130	0	0	0	17	11234	0	163	544	5	264	2
Sample38	0	129	2580	0	0	0	25	13215	0	111	155	6	277	0
Sample39	0	177	2504	0	0	0	83	13640	0	32	220	7	275	0
Sample40	0	288	3796	0	3	0	3	10289	0	541	17	0	157	0
Sample41	0	357	2905	0	0	0	17	15375	0	1129	97	23	264	0
Sample42	0	181	3059	0	0	0	5	11835	0	106	150	2	156	0
Sample43	0	137	3958	0	0	0	21	13530	0	116	253	0	161	0
Sample44	2	246	3351	0	0	4	83	9655	0	114	213	5	315	0
Sample45	0	97	3198	2	0	0	12	8667	0	51	147	7	422	0
Sample46	0	234	2304	0	0	0	142	10765	0	117	934	2	150	0
Sample47	0	300	2347	0	0	0	2	13406	0	456	84	0	112	0
Sample48	2	681	2357	0	2	2	2	9601	0	159	41	3	193	0
Sample49	0	533	1250	0	2	0	10	14015	0	662	509	7	445	0
Sample50	0	432	3726	0	0	0	60	14482	0	194	182	2	162	0
Sample51	0	339	1940	0	0	0	9	16151	0	135	379	7	235	0
Sample52	0	230	585	0	2	0	0	7780	0	1608	85	0	97	0
Sample53	0	45	1391	0	0	0	0	11111	0	913	367	4	33	0
Sample54	0	162	932	0	12	0	3	11269	0	511	231	2	29	0
Sample55	0	285	177	0	0	0	2	19355	0	840	25	7	196	0
